run_id,combination,N,packets,pc_dt_zero_count,pc_dt_negative_count,pc_dt_gt_20ms_count,pc_dt_gt_100ms_count,host_dt_gt_20ms_count,host_dt_gt_100ms_count,sequence_step_not_one_count,observed_pc_span_ms,observed_host_span_ms,pc_packet_span_rate_Hz,host_packet_span_rate_Hz,pc_completion_dt_ms_n,pc_completion_dt_ms_mean,pc_completion_dt_ms_sd_population,pc_completion_dt_ms_min,pc_completion_dt_ms_p50,pc_completion_dt_ms_p95,pc_completion_dt_ms_p99,pc_completion_dt_ms_max,host_enqueue_dt_ms_n,host_enqueue_dt_ms_mean,host_enqueue_dt_ms_sd_population,host_enqueue_dt_ms_min,host_enqueue_dt_ms_p50,host_enqueue_dt_ms_p95,host_enqueue_dt_ms_p99,host_enqueue_dt_ms_max
20260907_013957_653007,M3,1,5991,1404,0,92,18,0,0,0,29896.97089997935,29902,200.35474563759692,200.3210487592803,5990,4.991147061766169,10.659837654110486,0.0,4.727199993794784,11.22253500652733,28.639610001118854,330.34549999865703,5990,4.991986644407346,0.18795772574270359,3.0,5.0,5.0,5.0,7.0
20260907_014038_027023,M3,1,6012,139,0,2,0,0,0,0,29991.92739999853,30003,200.42059717710222,200.3466320034663,6011,4.98950713691541,2.6751374528044267,0.0,4.930499999318272,9.891100009554066,13.683390012010925,28.30899998662062,6011,4.991349193145899,0.18671131272024907,3.0,5.0,5.0,5.0,7.0
20260907_014203_200469,M0+M1,2,6004,487,0,35,0,0,0,0,29997.23759997869,29998,200.11842690489155,200.11334088939262,6003,4.99704107945672,3.559611544641083,0.0,4.909399984171614,10.618209984386334,17.089360010577344,59.2756999831181,6003,4.997168082625354,0.19951292405256985,3.0,5.0,5.0,6.0,7.0
20260907_014243_220995,M0+M1,2,6003,208,0,8,1,0,0,0,29989.272500009974,29995,200.13823276299897,200.1000166694449,6002,4.996546567812391,3.211957987037812,0.0,4.925399989588186,10.03958499059081,14.616679005557671,125.49679999938235,6002,4.997500833055648,0.20202346626650003,3.0,5.0,5.0,6.0,7.0
20260907_014323_266112,M0+M1,2,6004,172,0,2,0,0,0,0,29984.328099992126,29997,200.20458620853927,200.1200120012001,6003,4.994890571379664,2.704914464328964,0.0,4.935899982228875,9.76220997981727,14.906856004963624,32.51129999989644,6003,4.997001499250374,0.19228239191000251,3.0,5.0,5.0,6.0,7.0
20260907_014425_784635,M0+M2,2,6002,962,0,68,1,0,0,0,29990.580900019268,29989,200.09615752378255,200.1067057921238,6001,4.997597217133689,5.108328782200158,0.0,4.865499999141321,11.699400027282536,21.5543000085745,109.31020000134595,6001,4.997333777703716,0.19660395355837612,3.0,5.0,5.0,6.0,7.0
20260907_014505_874750,M0+M2,2,6027,986,0,79,0,0,0,0,29976.94789999514,30112,201.02113197457894,200.11955366631244,6026,4.974601377363946,4.8391879489803316,0.0,4.829199999221601,12.094600017007906,21.85052500863094,95.09029999026097,6026,4.997012943909724,0.19277793199374796,3.0,5.0,5.0,5.0,7.0
20260907_014545_965962,M0+M2,2,6003,2150,0,44,10,0,0,0,29995.661900000414,29996,200.09560115757662,200.09334577943727,6002,4.997611112962415,55.597031907392825,0.0,4.11005002388265,10.098809981718658,18.114845986128778,3783.2827999955043,6002,4.9976674441852715,0.19056701036980458,3.0,5.0,5.0,6.0,7.0
20260907_014715_022979,M0+M3,2,5986,1293,0,95,8,0,0,0,29902.214200003073,29913,200.15240209199575,200.0802326747568,5985,4.996192848789152,11.467377143765091,0.0,4.743400000734255,12.020060018403463,22.909087999723845,591.6125000221655,5985,4.9979949874686715,0.19084122784105215,3.0,5.0,5.0,6.0,7.0
20260907_014755_224321,M0+M3,2,6003,200,0,8,0,0,0,0,29994.624900020426,29995,200.1025190348659,200.1000166694449,6002,4.997438337224329,2.9282535549757567,0.0,4.92554999073036,10.408414978883227,14.883129000081672,33.27569999964908,6002,4.997500833055648,0.18115227489713082,3.0,5.0,5.0,5.0,7.0
