run_id,N,modules,slot,batch_id,repeat,main_status,ESKF_count,ESKD_count,K_ESKD,K1_ESKD,K2_ESKD,K_zero_fraction,K_max,q_ESKF,valid_update_rate_Hz,ESKF_PC_interval_mean_s,ESKF_trigger_reason
20260907_014715_022979,2,M0_M3,M0,BATCH_b99cdc1d65b44cb59677a2c5e3e39f6a,1,PASS,30,5956,5.456178643384822,5.112155809267965,0.34402283411685697,0.014942914707857623,58,0.005011693952555964,199.4551934370587,0.9994933620689372,unknown_without_correlated_firmware_events
20260907_014715_022979,2,M0_M3,M3,BATCH_b99cdc1d65b44cb59677a2c5e3e39f6a,1,PASS,30,5956,3.220785762256548,0.9694425789120215,2.2513431833445265,0.14858965748824715,48,0.005011693952555964,199.4551934370587,0.9995753034489663,unknown_without_correlated_firmware_events
20260907_014755_224321,2,M0_M3,M0,BATCH_b99cdc1d65b44cb59677a2c5e3e39f6a,2,PASS,30,5973,6.537083542608404,6.098275573413695,0.43880796919470955,0.0003348401138456387,60,0.004997501249375313,200.07447249796687,0.9996341689648347,unknown_without_correlated_firmware_events
20260907_014755_224321,2,M0_M3,M3,BATCH_b99cdc1d65b44cb59677a2c5e3e39f6a,2,PASS,30,5973,4.354595680562531,1.8175121379541268,2.5370835426084044,0.10999497739829231,41,0.004997501249375313,200.07447249796687,0.9992659413787649,unknown_without_correlated_firmware_events
20260907_014835_279154,2,M0_M3,M0,BATCH_b99cdc1d65b44cb59677a2c5e3e39f6a,3,PASS,30,5972,5.276456798392498,4.7987273945077025,0.47772940388479573,0.0028466175485599462,50,0.004998333888703766,200.0386285856622,0.999657220689877,unknown_without_correlated_firmware_events
20260907_014835_279154,2,M0_M3,M3,BATCH_b99cdc1d65b44cb59677a2c5e3e39f6a,3,PASS,30,5972,3.2881781647689214,0.9708640321500335,2.317314132618888,0.14266577361018085,26,0.004998333888703766,200.0386285856622,0.9987304103450352,unknown_without_correlated_firmware_events
20260907_014946_645414,2,M1_M2,M1,BATCH_87a8929733aa49f48b160c96f56b245f,1,PASS,30,5976,2.0990629183400267,0.500669344042838,1.5983935742971886,0.5224230254350736,23,0.004995004995004995,199.99762706794044,0.9991408344829888,unknown_without_correlated_firmware_events
20260907_014946_645414,2,M1_M2,M2,BATCH_87a8929733aa49f48b160c96f56b245f,1,PASS,30,5976,22.001506024096386,21.83383534136546,0.1676706827309237,0.06241633199464525,37,0.004995004995004995,199.99762706794044,0.9991623655168324,unknown_without_correlated_firmware_events
20260907_015026_779606,2,M1_M2,M1,BATCH_87a8929733aa49f48b160c96f56b245f,2,PASS,30,5975,2.073305439330544,0.6244351464435146,1.4488702928870294,0.557489539748954,26,0.004995836802664446,200.16617292337006,0.9991488448275928,unknown_without_correlated_firmware_events
20260907_015026_779606,2,M1_M2,M2,BATCH_87a8929733aa49f48b160c96f56b245f,2,PASS,30,5975,22.22644351464435,22.03029288702929,0.19615062761506277,0.052384937238493724,37,0.004995836802664446,200.16617292337006,0.9992454034489066,unknown_without_correlated_firmware_events
