N,M_configured_slots,frequency_Hz,FULL_Mbit_s,DELTA_K0_Mbit_s,DELTA_K240_Mbit_s,DELTA_K480_Mbit_s,USB_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_Mbit_s,DELTA_K240_no_ESKF_bound_Mbit_s,DELTA_K480_no_ESKF_bound_Mbit_s
5,5,525,22.1088,1.9872,12.048,22.108800000000002,480.0,0.0019047619047619048,1.0,1.9488,12.0288,22.1088
5,5,550,23.1616,2.0799999999999996,12.6208,23.1616,480.0,0.0018181818181818182,1.0,2.0416,12.6016,23.1616
5,5,575,24.2144,2.1728,13.193599999999998,24.2144,480.0,0.0017391304347826088,1.0,2.1344,13.1744,24.2144
5,5,600,25.2672,2.2656,13.7664,25.2672,480.0,0.0016666666666666668,1.0,2.2272,13.7472,25.2672
5,5,625,26.32,2.3584,14.339199999999998,26.32,480.0,0.0016,1.0,2.32,14.32,26.32
5,5,650,27.3728,2.4512,14.912,27.3728,480.0,0.0015384615384615385,1.0,2.4128,14.8928,27.3728
5,5,675,28.4256,2.544,15.484799999999996,28.4256,480.0,0.0014814814814814814,1.0,2.5056,15.4656,28.4256
5,5,700,29.4784,2.6368,16.0576,29.4784,480.0,0.0014285714285714286,1.0,2.5984,16.0384,29.4784
6,6,0,0.0,0.0,0.0,0.0,480.0,0.0,1.0,0.0,0.0,0.0
6,6,25,1.2624,0.15648000000000004,0.70944,1.2624,480.0,0.04,1.0,0.1104,0.6864,1.2624
6,6,50,2.5248,0.26688,1.3958400000000002,2.5248,480.0,0.02,1.0,0.2208,1.3728,2.5248
6,6,75,3.7872,0.37728,2.0822399999999996,3.7872,480.0,0.013333333333333334,1.0,0.3312,2.0592,3.7872
6,6,100,5.0496,0.48767999999999995,2.76864,5.0496,480.0,0.01,1.0,0.4416,2.7456,5.0496
6,6,125,6.312,0.59808,3.4550399999999994,6.312,480.0,0.008,1.0,0.552,3.432,6.312
6,6,150,7.5744,0.7084800000000001,4.14144,7.5744,480.0,0.006666666666666667,1.0,0.6624,4.1184,7.5744
6,6,175,8.8368,0.8188800000000002,4.82784,8.8368,480.0,0.005714285714285714,1.0,0.7728,4.8048,8.8368
6,6,200,10.0992,0.9292799999999999,5.514239999999999,10.0992,480.0,0.005,1.0,0.8832,5.4912,10.0992
6,6,225,11.3616,1.03968,6.20064,11.3616,480.0,0.0044444444444444444,1.0,0.9936,6.1776,11.3616
6,6,250,12.624,1.15008,6.887040000000001,12.624,480.0,0.004,1.0,1.104,6.864,12.624
6,6,275,13.8864,1.2604799999999998,7.573439999999999,13.8864,480.0,0.0036363636363636364,1.0,1.2144,7.5504,13.8864
6,6,300,15.1488,1.37088,8.25984,15.1488,480.0,0.0033333333333333335,1.0,1.3248,8.2368,15.1488
6,6,325,16.4112,1.4812799999999997,8.94624,16.4112,480.0,0.003076923076923077,1.0,1.4352,8.9232,16.4112
6,6,350,17.6736,1.5916799999999998,9.632639999999999,17.6736,480.0,0.002857142857142857,1.0,1.5456,9.6096,17.6736
6,6,375,18.936,1.70208,10.31904,18.936,480.0,0.0026666666666666666,1.0,1.656,10.296,18.936
6,6,400,20.1984,1.8124800000000003,11.00544,20.1984,480.0,0.0025,1.0,1.7664,10.9824,20.1984
6,6,425,21.4608,1.9228800000000001,11.691840000000003,21.4608,480.0,0.002352941176470588,1.0,1.8768,11.6688,21.4608
6,6,450,22.7232,2.03328,12.378240000000002,22.7232,480.0,0.0022222222222222222,1.0,1.9872,12.3552,22.7232
6,6,475,23.9856,2.14368,13.064640000000002,23.9856,480.0,0.002105263157894737,1.0,2.0976,13.0416,23.9856
6,6,500,25.248,2.25408,13.751039999999998,25.248,480.0,0.002,1.0,2.208,13.728,25.248
6,6,525,26.5104,2.3644800000000004,14.43744,26.510400000000008,480.0,0.0019047619047619048,1.0,2.3184,14.4144,26.5104
6,6,550,27.7728,2.4748799999999997,15.123839999999998,27.7728,480.0,0.0018181818181818182,1.0,2.4288,15.1008,27.7728
6,6,575,29.0352,2.5852799999999996,15.810239999999999,29.0352,480.0,0.0017391304347826088,1.0,2.5392,15.7872,29.0352
6,6,600,30.2976,2.6956799999999994,16.49664,30.2976,480.0,0.0016666666666666668,1.0,2.6496,16.4736,30.2976
6,6,625,31.56,2.80608,17.183039999999995,31.56,480.0,0.0016,1.0,2.76,17.16,31.56
6,6,650,32.8224,2.9164800000000004,17.86944,32.8224,480.0,0.0015384615384615385,1.0,2.8704,17.8464,32.8224
6,6,675,34.0848,3.02688,18.555839999999996,34.0848,480.0,0.0014814814814814814,1.0,2.9808,18.5328,34.0848
6,6,700,35.3472,3.13728,19.24224,35.3472,480.0,0.0014285714285714286,1.0,3.0912,19.2192,35.3472
7,7,0,0.0,0.0,0.0,0.0,480.0,0.0,1.0,0.0,0.0,0.0
7,7,25,1.472,0.18176,0.8268799999999998,1.472,480.0,0.04,1.0,0.128,0.8,1.472
7,7,50,2.944,0.3097599999999999,1.62688,2.944,480.0,0.02,1.0,0.256,1.6,2.944
7,7,75,4.416,0.43776,2.42688,4.416,480.0,0.013333333333333334,1.0,0.384,2.4,4.416
7,7,100,5.888,0.56576,3.2268800000000004,5.888,480.0,0.01,1.0,0.512,3.2,5.888
7,7,125,7.36,0.69376,4.026879999999999,7.36,480.0,0.008,1.0,0.64,4.0,7.36
7,7,150,8.832,0.8217600000000002,4.826880000000001,8.832,480.0,0.006666666666666667,1.0,0.768,4.8,8.832
7,7,175,10.304,0.9497600000000002,5.62688,10.304,480.0,0.005714285714285714,1.0,0.896,5.6,10.304
7,7,200,11.776,1.07776,6.42688,11.776,480.0,0.005,1.0,1.024,6.4,11.776
7,7,225,13.248,1.20576,7.22688,13.248,480.0,0.0044444444444444444,1.0,1.152,7.2,13.248
7,7,250,14.72,1.33376,8.02688,14.72,480.0,0.004,1.0,1.28,8.0,14.72
7,7,275,16.192,1.4617599999999997,8.826879999999997,16.192,480.0,0.0036363636363636364,1.0,1.408,8.8,16.192
7,7,300,17.664,1.58976,9.62688,17.664,480.0,0.0033333333333333335,1.0,1.536,9.6,17.664
7,7,325,19.136,1.7177599999999997,10.42688,19.136,480.0,0.003076923076923077,1.0,1.664,10.4,19.136
7,7,350,20.608,1.8457599999999998,11.226879999999998,20.608,480.0,0.002857142857142857,1.0,1.792,11.2,20.608
7,7,375,22.08,1.9737600000000002,12.02688,22.08,480.0,0.0026666666666666666,1.0,1.92,12.0,22.08
7,7,400,23.552,2.10176,12.826880000000003,23.552,480.0,0.0025,1.0,2.048,12.8,23.552
7,7,425,25.024,2.22976,13.626880000000003,25.024,480.0,0.002352941176470588,1.0,2.176,13.6,25.024
7,7,450,26.496,2.35776,14.426880000000002,26.496,480.0,0.0022222222222222222,1.0,2.304,14.4,26.496
7,7,475,27.968,2.4857599999999995,15.226880000000003,27.968,480.0,0.002105263157894737,1.0,2.432,15.2,27.968
7,7,500,29.44,2.6137599999999996,16.02688,29.44,480.0,0.002,1.0,2.56,16.0,29.44
7,7,525,30.912,2.7417600000000006,16.82688,30.912000000000006,480.0,0.0019047619047619048,1.0,2.688,16.8,30.912
7,7,550,32.384,2.8697599999999994,17.62688,32.384,480.0,0.0018181818181818182,1.0,2.816,17.6,32.384
7,7,575,33.856,2.9977599999999995,18.42688,33.856,480.0,0.0017391304347826088,1.0,2.944,18.4,33.856
7,7,600,35.328,3.1257599999999996,19.226879999999998,35.328,480.0,0.0016666666666666668,1.0,3.072,19.2,35.328
7,7,625,36.8,3.2537599999999993,20.026879999999995,36.8,480.0,0.0016,1.0,3.2,20.0,36.8
7,7,650,38.272,3.3817600000000003,20.826879999999996,38.272,480.0,0.0015384615384615385,1.0,3.328,20.8,38.272
7,7,675,39.744,3.50976,21.626879999999996,39.744,480.0,0.0014814814814814814,1.0,3.456,21.6,39.744
7,7,700,41.216,3.6377599999999997,22.42688,41.216,480.0,0.0014285714285714286,1.0,3.584,22.4,41.216
8,8,0,0.0,0.0,0.0,0.0,480.0,0.0,1.0,0.0,0.0,0.0
8,8,25,1.6816,0.20704,0.9443199999999999,1.6816,480.0,0.04,1.0,0.1456,0.9136,1.6816
8,8,50,3.3632,0.35263999999999995,1.85792,3.3632,480.0,0.02,1.0,0.2912,1.8272,3.3632
8,8,75,5.0448,0.49824,2.77152,5.0448,480.0,0.013333333333333334,1.0,0.4368,2.7408,5.0448
8,8,100,6.7264,0.64384,3.6851200000000004,6.7264,480.0,0.01,1.0,0.5824,3.6544,6.7264
8,8,125,8.408,0.78944,4.598719999999999,8.408,480.0,0.008,1.0,0.728,4.568,8.408
8,8,150,10.0896,0.93504,5.51232,10.0896,480.0,0.006666666666666667,1.0,0.8736,5.4816,10.0896
8,8,175,11.7712,1.08064,6.42592,11.7712,480.0,0.005714285714285714,1.0,1.0192,6.3952,11.7712
8,8,200,13.4528,1.22624,7.33952,13.4528,480.0,0.005,1.0,1.1648,7.3088,13.4528
8,8,225,15.1344,1.37184,8.25312,15.1344,480.0,0.0044444444444444444,1.0,1.3104,8.2224,15.1344
8,8,250,16.816,1.51744,9.166720000000002,16.816,480.0,0.004,1.0,1.456,9.136,16.816
8,8,275,18.4976,1.66304,10.080319999999999,18.4976,480.0,0.0036363636363636364,1.0,1.6016,10.0496,18.4976
8,8,300,20.1792,1.80864,10.99392,20.1792,480.0,0.0033333333333333335,1.0,1.7472,10.9632,20.1792
8,8,325,21.8608,1.9542399999999998,11.90752,21.8608,480.0,0.003076923076923077,1.0,1.8928,11.8768,21.8608
8,8,350,23.5424,2.09984,12.821119999999999,23.5424,480.0,0.002857142857142857,1.0,2.0384,12.7904,23.5424
8,8,375,25.224,2.24544,13.73472,25.224,480.0,0.0026666666666666666,1.0,2.184,13.704,25.224
8,8,400,26.9056,2.39104,14.648320000000002,26.9056,480.0,0.0025,1.0,2.3296,14.6176,26.9056
8,8,425,28.5872,2.53664,15.561920000000004,28.5872,480.0,0.002352941176470588,1.0,2.4752,15.5312,28.5872
8,8,450,30.2688,2.68224,16.475520000000003,30.2688,480.0,0.0022222222222222222,1.0,2.6208,16.4448,30.2688
8,8,475,31.9504,2.8278399999999997,17.389120000000005,31.9504,480.0,0.002105263157894737,1.0,2.7664,17.3584,31.9504
8,8,500,33.632,2.9734399999999996,18.302719999999997,33.632,480.0,0.002,1.0,2.912,18.272,33.632
8,8,525,35.3136,3.1190400000000005,19.21632,35.31360000000001,480.0,0.0019047619047619048,1.0,3.0576,19.1856,35.3136
