run_id,date,date_bucket,mode,target_Hz,N,modules,load,repeat_label,module_id,ESKF_count,ESKD_count,q_ESKF,module_update_rate_Hz,unupdated_packets_for_this_module,K_n,K_mean,K_sd_population,K_p05,K_p25,K_median,K_p75,K_p95,K_min,K_max,K_zero_fraction,K_FSR1_mean,K_FSR2_mean,ESKF_interval_count,ESKF_interval_mean_s,ESKF_interval_min_s,ESKF_interval_max_s,flags_counts,base_link_discontinuities,break_events_after_anchor,unapplied_after_anchor,initial_unanchored_delta_frames,full_trigger_reason
20260905_190910,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M3,zero_load,Repeat_6,M3,30,5984,0.004988360492184902,200.45866502499248,0,5984,43.5,13.341238187051319,22.0,32.0,44.0,54.0,64.0,8,81,0.0,20.324364973262032,23.175635026737968,29,0.9980307586206897,0.9874960000000002,1.006774,"{""0x33"": 6014}",0,0,0,189,not_identifiable_from_recorded_frame_type
20260901_200355,2026-09-01,before_2026-09-05,DELTA,200,2,M0+M1,zero_load,single_run_no_repeat_label,M0,30,5927,0.005036091992613732,194.95843381131337,0,5927,66.22254091445926,12.156989160364567,46.0,58.0,66.0,74.0,86.0,19,124,0.0,51.96963050447106,14.25291040998819,29,0.9994386896551725,0.8422669999999997,1.1578839999999992,"{""0x33"": 5957}",0,0,0,6,not_identifiable_from_recorded_frame_type
20260901_200355,2026-09-01,before_2026-09-05,DELTA,200,2,M0+M1,zero_load,single_run_no_repeat_label,M1,30,5927,0.005036091992613732,194.95843381131337,0,5927,34.909228952252406,11.345793927598468,19.0,28.0,33.0,41.0,55.0,1,100,0.0,18.291040998818964,16.61818795343344,29,1.003851620689655,0.7825279999999992,1.2490340000000018,"{""0x33"": 5957}",0,0,0,134,not_identifiable_from_recorded_frame_type
20260901_201006,2026-09-01,before_2026-09-05,DELTA,200,2,M0+M2,zero_load,single_run_no_repeat_label,M0,30,5975,0.004995836802664446,200.14234803696175,0,5975,59.75882845188284,16.777368058256428,31.0,48.0,61.0,72.0,85.0,5,109,0.0,47.22744769874477,12.531380753138075,29,0.9994362068965518,0.8798989999999982,1.1160770000000007,"{""0x33"": 6005}",0,0,0,127,not_identifiable_from_recorded_frame_type
20260901_201006,2026-09-01,before_2026-09-05,DELTA,200,2,M0+M2,zero_load,single_run_no_repeat_label,M2,30,5975,0.004995836802664446,200.14234803696175,0,5975,56.8055230125523,9.867626098010598,41.0,50.0,57.0,63.0,73.0,24,92,0.0,16.707112970711297,40.09841004184101,29,0.9993143448275862,0.8033379999999966,1.1985710000000012,"{""0x33"": 6005}",0,0,0,108,not_identifiable_from_recorded_frame_type
20260901_201106,2026-09-01,before_2026-09-05,DELTA,200,2,M0+M3,zero_load,single_run_no_repeat_label,M0,30,5958,0.00501002004008016,199.59487839534208,0,5958,38.353306478684125,10.247944061099162,23.0,31.0,38.0,45.0,56.0,4,85,0.0,30.998657267539443,7.35464921114468,29,1.001759620689655,0.5467269999999989,1.461119,"{""0x33"": 5988}",0,0,0,135,not_identifiable_from_recorded_frame_type
20260901_201106,2026-09-01,before_2026-09-05,DELTA,200,2,M0+M3,zero_load,single_run_no_repeat_label,M3,30,5958,0.00501002004008016,199.59487839534208,0,5958,8.828298086606244,4.023832762571155,2.0,6.0,9.0,12.0,16.0,0,26,0.0062101376300772075,6.872608257804632,1.9556898288016114,29,1.001846,0.5696130000000004,1.4491199999999989,"{""0x33"": 5988}",0,0,0,141,not_identifiable_from_recorded_frame_type
20260901_202827,2026-09-01,before_2026-09-05,DELTA,200,2,M1+M2,zero_load,single_run_no_repeat_label,M1,30,5977,0.00499417346429166,200.2245000959459,0,5977,36.60950309519826,12.303143426255163,20.0,29.0,35.0,43.0,59.0,2,107,0.0,16.05705203279237,20.55245106240589,29,0.9992253448275862,0.988982,1.0055379999999996,"{""0x33"": 6007}",0,0,0,32,not_identifiable_from_recorded_frame_type
20260901_202827,2026-09-01,before_2026-09-05,DELTA,200,2,M1+M2,zero_load,single_run_no_repeat_label,M2,30,5977,0.00499417346429166,200.2245000959459,0,5977,57.248285092855944,17.314593233819714,29.0,41.0,61.0,72.0,81.0,15,98,0.0,35.681947465283585,21.56633762757236,29,0.9992287931034484,0.9918769999999988,1.0097790000000018,"{""0x33"": 6007}",0,0,0,38,not_identifiable_from_recorded_frame_type
20260901_202930,2026-09-01,before_2026-09-05,DELTA,200,2,M1+M3,zero_load,single_run_no_repeat_label,M1,30,5959,0.005009183503088996,199.6016651984157,0,5959,31.32387984561168,9.536206623578021,17.0,25.0,31.0,36.0,48.0,4,90,0.0,11.037758013089444,20.286121832522234,29,1.0003412413793102,0.992585,1.0113149999999997,"{""0x33"": 5989}",0,0,0,101,not_identifiable_from_recorded_frame_type
