date,date_bucket,mode,target_Hz,N,modules,load,n_runs,run_ids,module_combinations,K_ESKD_mean_mean_over_runs,K_ESKD_mean_sd_between_runs,q_ESKF_module_frames_mean_over_runs,q_ESKF_module_frames_sd_between_runs,Lmean_B_mean_over_runs,Lmean_B_sd_between_runs,f_packet_Hz_mean_over_runs,f_packet_Hz_sd_between_runs,Mbit_per_s_mean_over_runs,Mbit_per_s_sd_between_runs,K_ESKD_pooled_mean,q_ESKF_pooled
2026-09-01,before_2026-09-05,FULL,50,1,M0,load_not_recorded,1,"[""20260901_185551""]","[""M0""]",,,1.0,,1084.0,,50.03101656550979,,0.4338689756561009,,,1.0
2026-09-01,before_2026-09-05,FULL,50,1,M1,load_not_recorded,1,"[""20260901_185503""]","[""M1""]",,,1.0,,1084.0,,50.09427422449812,,0.43441754607484767,,,1.0
2026-09-01,before_2026-09-05,FULL,50,1,M2,load_not_recorded,1,"[""20260901_185357""]","[""M2""]",,,1.0,,1084.0,,50.04879657699538,,0.43402316391570395,,,1.0
2026-09-01,before_2026-09-05,FULL,50,1,M3,load_not_recorded,1,"[""20260901_185305""]","[""M3""]",,,1.0,,1084.0,,49.905006752443406,,0.43277621855718923,,,1.0
2026-09-05,yesterday_2026-09-05,DELTA,200,1,M0,zero_load,3,"[""20260905_185935"", ""20260905_190017"", ""20260905_190049""]","[""M0""]",43.07587071638654,3.562347385914809,0.004996114164245762,4.804043509069931e-07,214.51758936543922,7.088679303469349,200.1027566173616,0.02251721738961334,0.3434037059006283,0.011312964690015435,43.07609908502566,0.0049961141334517595
2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,large_area,3,"[""20260905_192429"", ""20260905_192558"", ""20260905_192704""]","[""M1""]",93.49009716024652,7.263549772233875,0.005838143277471312,0.0002872789264563785,315.495217511846,14.281782276667634,199.80403805237327,0.06848312560001824,0.5042926326901895,0.022661263453526287,93.4895413870246,0.005838198498748957
2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,small_area_3x1.6cm,3,"[""20260905_193003"", ""20260905_193110"", ""20260905_193204""]","[""M1""]",64.36183756272635,3.5629901778058395,0.004990850200220283,8.302861868713773e-07,256.872449934142,7.090554966213175,200.3558407385048,0.038069314168932486,0.4117266975117818,0.011339548936033977,64.36175667391183,0.004990850108135086
2026-09-05,yesterday_2026-09-05,DELTA,200,1,M1,zero_load,2,"[""20260905_190158"", ""20260905_190232""]","[""M1""]",20.31135965829753,0.5159554452500119,0.004989190226132371,1.1734210016722237e-06,169.20966685407592,1.0278413073805297,200.41024346578325,0.016793373924243224,0.27129073520422176,0.0016251866035939064,20.311298679592177,0.004989190088142358
2026-09-05,yesterday_2026-09-05,DELTA,200,1,M2,zero_load,4,"[""20260905_190327"", ""20260905_190358"", ""20260905_190430"", ""20260905_190503""]","[""M2""]",43.22760481617585,1.2080504733986237,0.0049935500238625285,4.1562695275417297e-07,214.8172999648435,2.403686263090359,200.24474998530766,0.007919395739686716,0.34412839921191296,0.003863230926580909,43.22767763790724,0.004993549997919354
2026-09-05,yesterday_2026-09-05,DELTA,200,1,M3,zero_load,3,"[""20260905_190722"", ""20260905_190838"", ""20260905_190910""]","[""M3""]",43.74651273528116,0.5190789006247961,0.004988637024170721,4.789674493558823e-07,215.84564626105802,1.0327350051701099,200.4494672962862,0.016210643518223634,0.3461292113052219,0.0016728240074262413,43.7465322266169,0.004988636993514772
2026-09-05,yesterday_2026-09-05,DELTA,200,3,M0+M1+M3,zero_load,3,"[""20260905_191210"", ""20260905_191244"", ""20260905_191317""]","[""M0+M1+M3""]",51.63438201948819,0.5986979481636968,0.004996946341397367,4.805644056635064e-07,614.6494125614666,3.573810173718324,200.11306678168185,0.028194300903185025,0.9839952475652206,0.005778817012854774,51.634395402042294,0.004996946310587974
2026-09-05,yesterday_2026-09-05,DELTA,200,3,M0+M2+M3,zero_load,3,"[""20260905_191433"", ""20260905_191504"", ""20260905_191537""]","[""M0+M2+M3""]",60.88735909003574,1.961020077321769,0.004996668979816051,8.322233592809506e-07,669.8891546962142,11.70816986779352,200.11707268865123,0.03977363711585699,1.072448868062636,0.018641807548505165,60.887270765911545,0.004996668887408394
2026-09-05,yesterday_2026-09-05,DELTA,200,3,M1+M2+M3,zero_load,3,"[""20260905_191911"", ""20260905_191946"", ""20260905_192018""]","[""M1+M2+M3""]",44.6989120952442,0.12492321919754373,0.004995005271997238,1.4407332081885546e-06,573.2394592310895,0.7495285187520647,200.16387181636267,0.06168354986563243,0.9179343998775102,0.0009310791564230303,44.698888145173285,0.004995004995004995
2026-09-05,yesterday_2026-09-05,DELTA,200,4,M0+M1+M2+M3,zero_load,5,"[""20260905_184520"", ""20260905_184604"", ""20260905_185602"", ""20260905_185647"", ""20260905_185720""]","[""M0+M1+M2+M3""]",79.40203344756345,3.9362402581223277,0.005182808614722056,0.00041808194061729716,1027.7693322049215,32.170290764012925,199.4670727061277,1.5402576559507146,1.6398253072707571,0.04324602779129008,79.38450943174374,0.005180221579800478
